IID,Pop,Sample_Group
152,schuyler,schuyler
153,alton,alton
154,hennepin,hennepin
155,saint clair,saint clair
157,frederick,frederick
158,fulton,fulton1
159,fulton,fulton3
160,scott,scott
161,peoria,peoria
162,frederick,frederick
163,marshal,marshal
164,schuyler,schuyler
165,madison,madison
166,cass,cass
167,schuyler,schuyler
168,tazewell,tazewell
169,saint clair,saint clair
170,woodford,woodford
171,jersey,jersey
172,fulton,fulton1
173,cass,cass
174,schuyler,schuyler
175,peoria,peoria
176,saint clair,saint clair
177,peoria,peoria
178,saint clair,saint clair
179,fulton,fulton1
180,marshal,marshal
181,peoria,peoria
182,hennepin,hennepin
183,cass,cass
184,madison,madison
185,woodford,woodford
186,tazewell,tazewell
187,schuyler,schuyler
188,schuyler,schuyler
189,fulton,fulton3
190,jersey,jersey
191,marshal,marshal
192,scott,scott
193,fulton,fulton2
194,cass,cass
195,marshal,marshal
196,saint clair,saint clair
197,frederick,frederick
198,morgan,morgan
199,cass,cass
200,morgan,morgan
201,woodford,woodford
202,fulton,fulton3
203,madison,madison
204,morgan,morgan
205,hennepin,hennepin
206,cass,cass
207,fulton,fulton3
208,marshal,marshal
209,hennepin,hennepin
210,jersey,jersey
211,alton,alton
212,schuyler,schuyler
213,alton,alton
214,madison,madison
215,fulton,fulton2
216,cass,cass
217,woodford,woodford
218,jersey,jersey
219,tazewell,tazewell
220,schuyler,schuyler
221,marshal,marshal
222,tazewell,tazewell
223,cass,cass
224,scott,scott
225,jersey,jersey
226,saint clair,saint clair
227,fulton,fulton1
228,marshal,marshal
229,peoria,peoria
230,peoria,peoria
231,fulton,fulton3
232,woodford,woodford
233,hennepin,hennepin
234,frederick,frederick
235,schuyler,schuyler
236,scott,scott
237,frederick,frederick
238,frederick,frederick
239,frederick,frederick
240,tazewell,tazewell
241,fulton,fulton3
242,frederick,frederick
243,fulton,fulton3
244,morgan,morgan
245,morgan,morgan
246,fulton,fulton1
247,alton,alton
248,alton,alton
249,tazewell,tazewell
250,jersey,jersey
251,scott,scott
252,cass,cass
253,schuyler,schuyler
254,scott,scott
255,saint clair,saint clair
256,scott,scott
257,woodford,woodford
258,hennepin,hennepin
259,jersey,jersey
260,cass,cass
261,alton,alton
262,saint clair,saint clair
263,peoria,peoria
264,jersey,jersey
265,schuyler,schuyler
267,jersey,jersey
268,marshal,marshal
269,woodford,woodford
270,fulton,fulton3
271,fulton,fulton1
272,schuyler,schuyler
273,morgan,morgan
274,fulton,fulton1
275,woodford,woodford
276,tazewell,tazewell
277,scott,scott
278,scott,scott
279,jersey,jersey
280,hennepin,hennepin
281,alton,alton
282,hennepin,hennepin
283,saint clair,saint clair
284,scott,scott
285,schuyler,schuyler
286,scott,scott
287,schuyler,schuyler
288,jersey,jersey
289,fulton,fulton2
290,woodford,woodford
291,marshal,marshal
292,tazewell,tazewell
293,scott,scott
294,marshal,marshal
295,scott,scott
296,tazewell,tazewell
298,alton,alton
299,marshal,marshal
301,tazewell,tazewell
302,frederick,frederick
303,madison,madison
304,woodford,woodford
305,fulton,fulton3
306,fulton,fulton2
307,frederick,frederick
308,alton,alton
309,tazewell,tazewell
310,tazewell,tazewell
311,fulton,fulton1
312,fulton,fulton1
313,fulton,fulton3
314,cass,cass
315,tazewell,tazewell
316,marshal,marshal
317,peoria,peoria
318,fulton,fulton3
319,cass,cass
320,jersey,jersey
321,saint clair,saint clair
322,fulton,fulton3
323,schuyler,schuyler
324,madison,madison
325,woodford,woodford
326,madison,madison
327,scott,scott
328,cass,cass
329,marshal,marshal
330,woodford,woodford
331,tazewell,tazewell
332,hennepin,hennepin
334,fulton,fulton3
335,jersey,jersey
336,scott,scott
337,fulton,fulton1
338,woodford,woodford
339,fulton,fulton1
340,cass,cass
341,fulton,fulton2
342,woodford,woodford
343,scott,scott
344,marshal,marshal
345,hennepin,hennepin
347,cass,cass
349,scott,scott
350,fulton,fulton2
351,scott,scott
352,peoria,peoria
353,hennepin,hennepin
354,peoria,peoria
355,fulton,fulton1
356,jersey,jersey
357,cass,cass
358,morgan,morgan
359,alton,alton
360,jersey,jersey
361,jersey,jersey
362,marshal,marshal
363,morgan,morgan
364,morgan,morgan
365,hennepin,hennepin
366,tazewell,tazewell
367,jersey,jersey
368,saint clair,saint clair
370,woodford,woodford
371,frederick,frederick
372,frederick,frederick
373,scott,scott
374,fulton,fulton2
375,marshal,marshal
376,scott,scott
377,schuyler,schuyler
378,cass,cass
379,fulton,fulton3
380,morgan,morgan
381,morgan,morgan
382,scott,scott
383,peoria,peoria
384,jersey,jersey
385,scott,scott
386,hennepin,hennepin
387,frederick,frederick
388,fulton,fulton2
389,peoria,peoria
390,fulton,fulton2
392,scott,scott
393,woodford,woodford
394,fulton,fulton2
395,marshal,marshal
396,saint clair,saint clair
397,fulton,fulton2
398,schuyler,schuyler
399,marshal,marshal
400,fulton,fulton2
401,peoria,peoria
402,fulton,fulton3
403,frederick,frederick
404,tazewell,tazewell
405,scott,scott
406,cass,cass
408,fulton,fulton2
409,tazewell,tazewell
411,fulton,fulton3
412,frederick,frederick
413,marshal,marshal
415,marshal,marshal
417,cass,cass
418,alton,alton
419,cass,cass
420,frederick,frederick
421,schuyler,schuyler
422,alton,alton
423,alton,alton
424,jersey,jersey
425,morgan,morgan
426,tazewell,tazewell
427,fulton,fulton2
428,frederick,frederick
429,morgan,morgan
430,jersey,jersey
431,fulton,fulton1
432,fulton,fulton2
433,morgan,morgan
434,fulton,fulton2
435,jersey,jersey
436,scott,scott
437,tazewell,tazewell
438,schuyler,schuyler
439,cass,cass
441,jersey,jersey
442,jersey,jersey
443,alton,alton
444,morgan,morgan
445,hennepin,hennepin
446,alton,alton
448,jersey,jersey
449,peoria,peoria
451,cass,cass
452,madison,madison
453,jersey,jersey
454,peoria,peoria
455,morgan,morgan
456,jersey,jersey
457,alton,alton
458,peoria,peoria
459,tazewell,tazewell
460,scott,scott
461,saint clair,saint clair
462,fulton,fulton2
463,morgan,morgan
464,cass,cass
465,frederick,frederick
466,saint clair,saint clair
467,alton,alton
468,jersey,jersey
469,MO5556235,B. diffusa
470,MO5651552,B. diffusa
471,MO6335664,B. diffusa
472,MO5657434,B. caroliniana
473,MO5657436,B. caroliniana
474,MO3296052,B. caroliniana
475,MO6605549,B. asteroides var. recognita
476,MO5550141,B. asteroides var. recognita
477,MO6445537,B. asteroides var. recognita
478,MO3296042,B. asteroides var. latisquama
479,MO04630815,B. asteroides var. latisquama
480,MO3278114,B. asteroides var. asteroides
481,MO5555289,B. asteroides var. asteroides
482,MO5670280,B. asteroides var. asteroides
483,MO6669048,B. asteroides var. asteroides
484,MO3228478,B. apalachicolensis
485,MO3681612,B. apalachicolensis
486,MO6182444,B. montana
487,MO5543519,Chloracantha spinosa
488,MO5548112,Chloracantha spinosa
489,MO5655792,Chloracantha spinosa
490,MO5655812,Chloracantha spinosa
491,Meg_1185,B. asteroides
492,Meg_1183_1,B. diffusa
493,Meg_1183_2,B. diffusa
